83910,Caceres,ESP,2,39.47,-6.33,1,405,SWEC,,,,,,,,,1.047197551,
Año,mes,día,hora,GHI,DNI,DHI,T seca,T humeda,Presión,Wdir,Wspd,Alb,Topocentric sun declination,Topocentric local hour angle,Azimut,Elevacion,Topocentric zenith angle,Top. azimuth angle (westward from S)
1989,1,5,4,0,0,0,6.7,4.8,96512,0,0,0.16,-22.596442,217.333464,252.747193,-54.106724,144.106724,252.747193
1989,1,5,5,0,0,0,6.7,4.8,96512,999,0,0.16,-22.591849,232.328435,264.889828,-42.802072,132.802072,264.889828
1989,1,5,6,0,0,0,6.7,5.1,96512,999,0,0.16,-22.587274,247.32352,274.547354,-31.283137,121.283137,274.547354
1989,1,5,7,0,0,0,6.7,5.1,96512,0,0,0.16,-22.582706,262.318739,283.304007,-19.902123,109.902123,283.304007
1989,1,5,8,0,0,0,6.7,5.6,96512,999,0,0.16,-22.578131,277.314102,292.018952,-8.921691,98.921691,292.018952
1989,1,5,9,9,0,9,6.1,5.8,96512,0,0,0.16,-22.573537,292.309607,301.293618,1.673346,88.326654,301.293618
1989,1,5,10,44,0,44,6.7,6,96512,0,0,0.16,-22.56891,307.305247,311.63455,10.733815,79.266185,311.63455
1989,1,5,11,129,82,103,7.8,6.5,96512,999,0,0.16,-22.564241,322.301002,323.465715,18.495311,71.504689,323.465715
1989,1,5,12,214,94,175,9.4,6.7,96512,999,0,0.16,-22.559519,337.296847,336.999605,24.224418,65.775582,336.999605
1989,1,5,13,309,274,183,11.1,7,96512,0,0,0.16,-22.554738,352.292749,351.989011,27.316881,62.683119,351.989011
1989,1,5,14,369,394,187,12.8,7.2,96512,999,0.3,0.16,-22.549894,7.288674,7.579318,27.365288,62.634712,7.579318
1989,1,5,15,369,476,172,13.9,7.4,96512,999,0.7,0.16,-22.544988,22.284584,22.604211,24.362696,65.637304,22.604211
1989,1,5,16,287,394,161,14.4,7.4,96512,160,1,0.16,-22.540023,37.280445,36.192293,18.70667,71.29333,36.192293
1989,1,5,17,157,123,134,14.4,7.4,96512,999,0.7,0.16,-22.535005,52.276223,48.078426,10.998663,79.001337,48.078426
1989,1,5,18,72,0,72,13.9,7.2,96512,999,0.3,0.16,-22.529944,67.271893,58.46531,1.957251,88.042749,58.46531
1989,1,5,19,9,0,0,12.2,7,96512,0,0,0.16,-22.524851,82.267436,67.773747,-8.589704,98.589704,67.773747
1989,1,5,20,0,0,0,11.7,6.7,96512,999,0,0.16,-22.519739,97.262843,76.509389,-19.552216,109.552216,76.509389
1989,1,5,21,0,0,0,10.6,6.3,96512,999,0,0.16,-22.51462,112.258114,85.271274,-30.921961,120.921961,85.271274
1989,1,5,22,0,0,0,10,6,96512,0,0,0.16,-22.509507,127.253258,94.909691,-42.435655,132.435655,94.909691
1989,1,5,23,0,0,0,9.4,5.6,96512,999,0,0.16,-22.504411,142.248293,106.979849,-53.74363,143.74363,106.979849
1989,1,5,24,0,0,0,8.9,5.3,96512,999,0,0.16,-22.499342,157.243245,125.02332,-64.125554,154.125554,125.02332
1989,1,6,1,0,0,0,8.9,4.8,96512,0,0,0.16,-22.494306,172.238146,156.798072,-71.535095,161.535095,156.798072
1989,1,6,2,0,0,0,8.3,4.6,96512,0,0,0.16,-22.489307,187.233032,201.72849,-71.685742,161.685742,201.72849
1989,1,6,3,0,0,0,7.8,4.3,96512,999,0,0.16,-22.484344,202.227939,234.125442,-64.445776,154.445776,234.125442
1989,1,6,4,0,0,0,7.8,4.3,96512,0,0,0.16,-22.479415,217.222902,252.482796,-54.116783,144.116783,252.482796
1989,1,6,5,0,0,0,7.2,4.3,96512,999,0.3,0.16,-22.474512,232.217955,264.679438,-42.821054,132.821054,264.679438
1989,1,6,6,0,0,0,7.2,4.3,96512,999,0.7,0.16,-22.469627,247.213123,274.366521,-31.302135,121.302135,274.366521
1989,1,6,7,0,0,0,6.7,4.6,96512,150,1,0.16,-22.464748,262.208424,283.138841,-19.915581,109.915581,283.138841
1989,1,6,8,0,0,0,6.1,4.8,96512,999,1.4,0.16,-22.459864,277.203869,291.861014,-8.925154,98.925154,291.861014
1989,1,6,9,15,0,15,6.1,5.1,96512,999,1.7,0.16,-22.45496,292.199457,301.137697,1.683385,88.316615,301.137697
1989,1,6,10,75,0,75,6.7,5.6,96512,190,2.1,0.16,-22.450024,307.195179,311.478248,10.7633,79.2367,311.478248
1989,1,6,11,205,438,65,7.8,5.8,96512,999,1.7,0.16,-22.445045,322.191016,323.31033,18.548218,71.451782,323.31033
1989,1,6,12,271,350,126,8.9,6.3,96512,999,1.4,0.16,-22.440015,337.186944,336.851602,24.304145,65.695855,336.851602
1989,1,6,13,277,170,198,10.6,6.5,96512,200,1,0.16,-22.434925,352.18293,351.859802,27.423879,62.576121,351.859802
1989,1,6,14,340,324,190,12.2,6.7,96512,999,2.4,0.16,-22.429774,7.178939,7.480552,27.495591,62.504409,7.480552
1989,1,6,15,309,302,184,13.3,6.7,96512,999,3.7,0.16,-22.42456,22.174934,22.541029,24.508959,65.491041,22.541029
1989,1,6,16,205,107,170,13.9,7,96512,20,5.1,0.16,-22.419288,37.170879,36.161797,18.861192,71.138808,36.161797
1989,1,6,17,145,113,123,13.3,6.7,96512,999,5.1,0.16,-22.413963,52.166743,48.073838,11.155367,78.844633,48.073838
1989,1,6,18,69,0,69,12.8,6.7,96512,999,5.1,0.16,-22.408595,67.162499,58.480124,2.104458,87.895542,58.480124
1989,1,6,19,12,0,0,11.7,6.5,96512,330,5.1,0.16,-22.403195,82.158129,67.803374,-8.434317,98.434317,67.803374
1989,1,6,20,0,0,0,10.6,6,96512,999,3.9,0.16,-22.397776,97.153622,76.551151,-19.398877,109.398877,76.551151
1989,1,6,21,0,0,0,10,5.8,96512,999,2.7,0.16,-22.39235,112.14898,85.323697,-30.769984,120.769984,85.323697
