date;DNI;SF_POWER;IDP_POWER;SF_MF;IDP_T_OUT;SF_T_IN;SF_T_OUT;IDP_T_IN;COLD_PIPE_LOSSES;HOT_PIPE_LOSSES;;;;;;
06/01/2016 22:00;0,244429967;-3,268233141;26,48974789;230,6216843;401,2568874;395,3630778;387,60412;460,6870832;-2,32941698;32,08739801;;;;;;
06/01/2016 23:00;0,2462804;-1,650534126;12,56032227;105,5185303;397,7475652;391,1256001;382,5069163;459,5398926;-1,200471184;15,41132758;;;;;;
07/01/2016 0:00;0,245102917;-1,654483666;14,96171836;123,1868492;395,1919902;387,3707924;379,938916;458,4064391;-1,664756812;18,28095884;;;;;;
07/01/2016 1:00;0,2429159;-3,36201544;31,1323615;246,9562279;391,4486996;384,7112183;377,1504083;457,2881858;-2,835659679;37,33003662;;;;;;
07/01/2016 2:00;0,225555367;-2,567118546;32,45959074;246,1618579;386,9792944;379,4688946;373,6431871;456,1221144;-3,151094421;38,17780371;;;;;;
07/01/2016 3:00;0,181423217;-2,618681501;33,70920262;246,2389457;382,9458943;376,6759646;370,7125669;454,990383;-2,588627656;38,91651178;;;;;;
07/01/2016 4:00;0,186729733;-2,515484427;34,86720926;247,3932933;379,355402;373,76773;368,0451245;453,7789368;-2,287760141;39,67045383;;;;;;
07/01/2016 5:00;0,185720367;-2,372021084;35,80480561;247,7216239;376,0163444;370,4247343;365,0131703;452,5841797;-2,282981959;40,45980865;;;;;;
07/01/2016 6:00;0,207454817;-2,328150834;38,14672934;249,4520651;369,8568805;367,6867276;362,3937395;451,2906642;-0,77539321;41,25027339;;;;;;
07/01/2016 7:00;0,214620967;-2,175604876;38,72291837;246,4286733;366,1252182;364,9715728;359,9480342;450,0921785;-0,322316762;41,22084001;;;;;;
07/01/2016 8:00;0,270101067;-1,954018689;40,30300897;251,5867849;363,2073945;362,1884668;357,7549794;449,0459917;-0,269582775;42,52661043;;;;;;
07/01/2016 9:00;0,341447683;-1,826396223;48,46677473;293,7195071;359,1077005;359,7360269;356,1774125;447,8517146;0,530966564;49,76220439;;;;;;
07/01/2016 10:00;0,626786183;-1,378087768;55,57999402;337,2439467;357,9727391;357,6805358;355,3376651;446,7468826;0,065367559;56,89271423;;;;;;
07/01/2016 11:00;0,446906333;-0,969030797;55,90445699;336,496601;355,9413264;355,8837904;354,2296651;445,6284563;0,20113569;56,6723521;;;;;;
07/01/2016 12:00;0,9697636;-0,635315426;55,89298344;337,7519106;355,1300601;354,9605731;353,8792609;444,5825726;0,135229324;56,39306954;;;;;;
07/01/2016 13:00;72,3959181;1,01125128;55,0668861;336,8941063;355,126476;354,5467237;356,2701186;443,5479215;-0,105653386;54,1612882;;;;;;
07/01/2016 14:00;135,2396649;13,5293458;54,01265645;336,2890472;355,55431;353,9241385;376,7294852;442,4811659;-0,719704967;41,20301562;;;;;;
07/01/2016 15:00;65,93016533;18,85313765;43,9026431;332,8558848;370,662725;365,9714268;397,3913359;441,368726;-2,519291337;27,56879679;;;;;;
07/01/2016 16:00;1,97592325;0,331312921;31,68160603;322,824459;388,4486916;383,6824944;384,2501625;440,4418648;-2,542720159;33,89301326;;;;;;
07/01/2016 17:00;0,161832567;-4,142556264;24,4001224;266,7329653;390,8391839;392,3176764;383,7746256;439,2629282;0,924727844;27,61795082;;;;;;
07/01/2016 18:00;0,167864533;-2,326186649;23,26595471;231,1945963;384,7024076;384,3732489;378,7901052;438,243586;0,038433762;25,5537076;;;;;;
07/01/2016 19:00;0,158347917;-2,672833121;23,27368028;231,5926753;383,6037741;382,395032;375,9703477;437,1543181;-0,329285083;26,27579849;;;;;;
07/01/2016 20:00;0,180101383;-2,491683619;23,5836454;231,6414052;381,8013298;378,5765478;372,5597023;436,1615777;-1,167975444;27,24330447;;;;;;
07/01/2016 21:00;0,204090117;-2,280240519;24,02639918;230,8821107;379,4825305;375,3329329;369,7865776;435,1757495;-1,542591836;27,84923153;;;;;;
07/01/2016 22:00;0,181682867;-2,136641537;24,74367582;231,7760456;376,9089834;372,2023935;367,0052572;434,1876963;-1,773508094;28,65382545;;;;;;
07/01/2016 23:00;0,21081885;-2,111626303;25,33224917;231,6475024;374,423981;369,4385124;364,2809699;433,2400001;-1,881802522;29,32567799;;;;;;
08/01/2016 0:00;0,232687833;-2,109439796;25,95454175;231,3837768;371,8670437;366,7478566;361,5717296;432,3433397;-1,928695284;29,99267683;;;;;;
08/01/2016 1:00;0,192112783;-1,963641203;26,56929512;231,0401328;369,4437744;364,027515;359,1861144;431,5831242;-2,041378482;30,5743148;;;;;;
08/01/2016 2:00;0,22186545;-1,93564004;27,31184797;231,79944;366,9988417;361,4060787;356,6336079;430,8090869;-2,11428072;31,36176873;;;;;;
08/01/2016 3:00;0,182076433;-1,86447116;27,93091358;231,2479483;364,3955572;359,0372472;354,4158582;429,9652179;-2,008371109;31,80375585;;;;;;
