;Wspd;Wdir;DryBulb;DNI;Pressure
20/01/1989 3:00;0,7;999;10;0;1009,15
20/01/1989 4:00;1;350;10;0;1009,15
20/01/1989 5:00;0,7;999;9,4;0;1009,15
20/01/1989 6:00;0,3;999;9,4;0;1009,15
20/01/1989 7:00;0;0;8,9;0;1009,15
20/01/1989 8:00;0,7;999;8,9;0;1009,15
20/01/1989 9:00;1,5;20;8,3;0;1009,15
20/01/1989 10:00;5,1;30;9,4;56;1009,15
20/01/1989 11:00;4,6;999;11,1;72;1009,15
20/01/1989 12:00;4,1;999;12,8;182;1009,15
20/01/1989 13:00;3,6;20;15,6;340;1009,15
20/01/1989 14:00;3,1;999;17,8;403;1009,15
20/01/1989 15:00;2,6;999;18,9;305;1009,15
20/01/1989 16:00;2,1;210;20;145;1009,15
20/01/1989 17:00;2,1;999;20;132;1009,15
20/01/1989 18:00;2,1;999;18,9;176;1009,15
20/01/1989 19:00;2,1;280;16,7;0;1009,15
20/01/1989 20:00;2,1;999;15,6;0;1009,15
20/01/1989 21:00;2,1;999;14,4;0;1009,15
20/01/1989 22:00;2,1;330;13,3;0;1009,15
20/01/1989 23:00;0;0;12,8;0;1009,15
21/01/1989 0:00;0;999;12,2;0;1009,15
21/01/1989 1:00;0;0;11,1;0;1009,15
21/01/1989 2:00;0;0;11,1;0;1009,15
21/01/1989 3:00;0;999;10,6;0;1009,15
21/01/1989 4:00;0;999;9,4;0;1009,15
21/01/1989 5:00;0;0;8,9;0;1009,15
21/01/1989 6:00;1;999;8,3;0;1009,15
21/01/1989 7:00;2,1;50;7,8;0;1009,15
21/01/1989 8:00;1,7;999;6,7;0;1009,15
21/01/1989 9:00;1,4;999;6,7;0;1009,15
21/01/1989 10:00;1;50;7,2;523;1009,15
21/01/1989 11:00;1,4;999;8,3;671;1009,15
21/01/1989 12:00;1,7;999;10,6;753;1009,15
21/01/1989 13:00;2,1;30;12,8;798;1009,15
21/01/1989 14:00;1,8;999;15;817;1009,15
21/01/1989 15:00;1,5;30;16,7;804;1009,15
21/01/1989 16:00;1,2;999;17,2;763;1009,15
21/01/1989 17:00;1;30;17,2;690;1009,15
21/01/1989 18:00;0,5;999;16,1;558;1009,15
21/01/1989 19:00;0;0;14,4;0;1009,15
21/01/1989 20:00;0,7;999;12,8;0;1009,15
21/01/1989 21:00;1,4;999;11,7;0;1009,15
21/01/1989 22:00;2,1;110;11,1;0;1009,15
21/01/1989 23:00;1,4;999;10,6;0;1009,15
22/01/1989 0:00;0,7;999;9,4;0;1009,15
22/01/1989 1:00;0;0;8,9;0;1009,15
22/01/1989 2:00;0,7;999;8,3;0;1009,15
22/01/1989 3:00;1,4;999;8,3;0;1009,15
22/01/1989 4:00;2,1;30;8,3;0;1009,15
