"Time stamp";"Field HTF mass flow rate total | (kg/s)";"Field HTF temperature cold header inlet | (C)";"Field HTF temperature hot header outlet | (C)";"Field collector DNI-cosine product | (W/m2)";"Field collector fraction of time period tracking";"Field collector incidence angle modifier";"Field collector optical end loss";"Field collector row shadowing loss";"Field collector solar incidence angle | (deg)";"Field collector thermal and optical efficiency";"Field collector tracking angle | (deg)";"Field thermal power absorbed | (MWt)";"Field thermal power incident after cosine | (MWt)";"Field thermal power pipe losses | (MWt)";"Field thermal power receiver heat loss | (kJ/hr-m2)";"Field thermal power receiver total loss | (MWt)";"Field thermal power total incident | (MWt)";"Field thermal power total produced | (MWt)";"Resource Pressure | (mbar)";"Resource Solar Azimuth | (deg)";"Resource Solar Zenith | (deg)";"Resource Wet bulb temperature | (C)";"Resource Wind Speed | (m/s)";"Resource Dry bulb temperature | (C)";"Resource Beam normal irradiance | (W/m2)";"System power generated | (kW)";"Cycle electrical power output (gross) | (MWe)";"Cycle electrical power output (gross; solar share) | (MWe)";"Cycle electrical power output (net) | (MWe)";"Cycle thermal energy dumped - TES is full | (MWt)";"Cycle thermal energy dumped - min, load requirement | (MWt)";"Cycle thermal energy dumped - solar field | (MWt)";"Cycle thermal power input | (MWt)";"Field collector cosine efficiency";"Parasitic power total consumption | (MWe)"
"Jan 2; 02:00 pm";0;50,001;49,999;2,07361;1;0,742258;0,989118;1;58,7749;0;33,6602;0,452129;0,813683;0,177621;0,823221;0,323032;1,5696;0;999;198,573;64,323;7,84688;3,7;9,8;4;-355,488;0;0;-0,3703;0;0;0;0;0,518402;0,3703
"Jan 2; 03:00 pm";inf;293;393;214,849;1;0,837239;0,990403;1;52,1314;0,25333;55,2291;52,9087;84,3066;4,70286;34,1833;13,4135;137,34;34,7923;999;212,568;69,3412;6,99687;2,7;10,2;350;-394,656;0;0;-0,4111;0;15,8031;0;0;0,613853;0,4111
"Jan 2; 04:00 pm";-nan(ind);293;393;36,1775;1;0,91185;0,991577;0,890708;43,6517;0;71,6287;8,65279;14,196;4,72333;34,0907;13,3772;19,62;0;999;224,85;76,5943;6,83125;3,5;9,8;50;-355,488;0;0;-0,3703;0;0;0;0;0,723549;0,3703
"Jan 2; 05:00 pm";0;50,001;49,999;24,0251;0,110422;0,961106;0,992559;0;34,0601;0;79,87;0;9,42744;0,179441;0,850058;0,333563;11,3796;0;999;235,521;85,4121;6,52188;2,7;9,1;29;-355,488;0;0;-0,3703;0;0;0;0;0,828451;0,3703
"Jan 2; 06:00 pm";0;50,001;49,999;0;0;0,987542;0,993437;0;24,8961;0;0;0;0;0,180721;0,862327;0,338377;0;0;999;244,963;95,117;6,56875;3;8,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,907072;0,3703
"Jan 2; 07:00 pm";0;50,001;49,999;0;0;1,00071;0,996045;0;15,6267;0;0;0;0;0,181984;0,881595;0,345938;0;0;999;253,661;105,983;5,75625;2,1;8,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,963037;0,3703
"Jan 2; 08:00 pm";0;50,001;49,999;0;0;1,00356;0,998289;0;6,89953;0;0;0;0;0,183478;0,901589;0,353784;0;0;999;262,171;117,339;5,54688;1,6;7,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,992758;0,3703
"Jan 2; 09:00 pm";0;50,001;49,999;0;0;1,00079;0,999766;0;0,947008;0;0;0;0;0,184706;0,917478;0,360019;0;0;999;271,231;128,93;5,59375;1,3;7;0;-355,488;0;0;-0,3703;0;0;0;0;0,999863;0,3703
"Jan 2; 10:00 pm";0;50,001;49,999;0;0;1,00364;0,998128;0;7,54028;0;0;0;0;0,185918;0,933276;0,366217;0;0;999;282,104;140,463;5,64063;1;6,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,991353;0,3703
"Jan 2; 11:00 pm";0;50,001;49,999;0;0;1,0027;0,996856;0;12,5351;0;0;0;0;0,187352;0,951759;0,37347;0;0;999;297,592;151,403;4,9625;0,7;5,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,976163;0,3703
"Jan 3; 12:00 am";0;50,001;49,999;0;0;1,00081;0,996075;0;15,5126;0;0;0;0;0,188529;0,967496;0,379646;0;0;999;324,716;160,26;4,85313;0,4;5,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,963572;0,3703
"Jan 3; 01:00 am";0;50,001;49,999;0;0;1,00014;0,995866;0;16,2963;0;0;0;0;0,189461;0,97995;0,384532;0;0;999;10,1268;162,923;4,76563;0,2;5;0;-355,488;0;0;-0,3703;0;0;0;0;0,959823;0,3703
"Jan 3; 02:00 am";0;50,001;49,999;0;0;1,00145;0,996298;0;14,6687;0;0;0;0;0,190153;0,987912;0,387657;0;0;999;48,6541;157,018;4,62187;0,2;4,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,967406;0,3703
"Jan 3; 03:00 am";0;50,001;49,999;0;0;1,00334;0,997306;0;10,7855;0;0;0;0;0,190839;0,993889;0,390002;0;0;999;69,6742;146,985;4,0875;0,5;4,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,982334;0,3703
"Jan 3; 04:00 am";0;50,001;49,999;0;0;1,0031;0,998753;0;5,04122;0;0;0;0;0,191067;0,997784;0,391531;0;0;999;82,7186;135,697;4,14375;0,3;4,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,996132;0,3703
"Jan 3; 05:00 am";0;50,001;49,999;0;0;1,00166;0,999467;0;2,16011;0;0;0;0;0,191521;1,00384;0,393906;0;0;999;92,6214;124,092;3,94375;0,2;4,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,999289;0,3703
"Jan 3; 06:00 am";0;50,001;49,999;0;0;1,00343;0,997397;0;10,4297;0;0;0;0;0,191747;1,00649;0,394948;0;0;999;101,339;112,562;3,76563;0,2;4;0;-355,488;0;0;-0,3703;0;0;0;0;0,983478;0,3703
"Jan 3; 07:00 am";0;50,001;49,999;0;0;0,996717;0,995016;0;19,4144;0;0;0;0;0,191747;1,00582;0,394682;0;0;999;109,85;101,372;3,96094;0,3;4;0;-355,488;0;0;-0,3703;0;0;0;0;0,943139;0,3703
